,HingeSVM,LS SVM,Pin SVM,Rhinge SVM,RQSVM,CSKB SVM,qtls SVM,gr_SVM,bap SVM
acc,0.909353741,0.897278912,0.917602041,0.913520408,0.929931973,0.909438776,0.901445578,0.881122449,0.934268707
f1score,0.917835011,0.909260172,0.924991817,0.919716948,0.937678235,0.916719201,0.913075915,0.898871216,0.941810042
recall,0.955514856,0.900703219,0.962899471,0.979473684,1,1,0.947227513,0.981818182,0.980555556
precision,0.938974359,0.920205128,0.946666667,0.96,0.946666667,1,0.928205128,0.938974359,0.966666667
acc,0.677027027,0.937837838,0.947297297,0.701351351,0.947297297,0.95,0.936486486,0.945945946,0.956756757
f1score,0.66525617,0.806091155,0.798441796,0.684561642,0.802435821,0.844803686,0.820193935,0.806091155,0.889866943
recall,0.803462827,0.802709941,0.803462827,0.807941176,0.790145814,0.826147392,0.813771925,0.809702965,0.963666794
precision,0.651449532,0.813625215,0.854411765,0.712437821,0.816422965,1,0.83517358,0.89862124,0.920237791
acc,0.968181818,0.954545455,0.981818182,0.977272727,0.986363636,0.963636364,0.959090909,0.972727273,0.981818182
f1score,0.963012146,0.94931703,0.981268556,0.976410256,0.986396761,0.957321109,0.953020426,0.964936254,0.981538462
recall,0.976746411,0.951888112,0.983413078,0.983413078,0.993939394,0.987487781,0.951888112,0.983413078,0.987272727
precision,0.969473684,0.966557018,0.989473684,0.979473684,0.989473684,1,0.976140351,0.966557018,0.989473684
acc,0.8375,0.8375,0.8375,0.85,0.8625,0.825,0.8375,0.8,0.875
f1score,0.84068996,0.839055973,0.84068996,0.85072264,0.867441643,0.843682491,0.839055973,0.782750995,0.882669419
recall,0.894505495,0.887777778,0.894505495,0.911111111,0.946428571,0.933333333,0.887777778,0.855,0.96
precision,0.827777778,0.830555556,0.830555556,0.830555556,0.877777778,1,0.827777778,0.836111111,0.925
acc,0.527023225,0.974492369,0.974495023,0.447524884,0.977409423,0.980310551,0.974492369,0.969390843,0.980315859
f1score,0.569578152,0.976528324,0.9765503,0.488763465,0.979308413,0.982300163,0.976670168,0.971689917,0.982095319
recall,0.518458065,0.998611111,1,0.635795714,1,1,0.998611111,1,1
precision,0.771389291,0.958163908,0.956767248,0.638675615,0.97783856,1,0.960781247,1,0.994630872
